key,tr,en,ko,ar,zh-CN,zh-TW,ja,de,fr,es,it,nl,pt,vi,ru,id,th
faqs.c2,"GOCAR, gerçek dünyada kullanım sunmak üzere tasarlanmış ilk araç temalı meme projesidir.",GOCAR is the first car meme project designed to deliver real-world utility.,"GOCAR는 실제 유틸리티를 제공하도록 설계된 최초의 자동차 밈 프로젝트입니다.
",GOCAR هو أول مشروع ميم للسيارات مصمم لتقديم فائدة حقيقية في العالم الواقعي.,GOCAR 是首个被设计为可提供实际使用的汽车类迷因项目。,"GOCAR 是首個被設計為可提供實際使用的汽車類迷因項目。
",GOCAR は実際のユーティリティを提供するように設計された初の自動車ミームプロジェクトです。,"GOCAR ist das erste Car-Meme-Projekt, das entwickelt wurde, um echte Nutzen in der realen Welt zu bieten.",GOCAR est le premier projet de meme automobile conçu pour offrir une véritable utilité dans le monde réel.,GOCAR es el primer proyecto de meme de vehículos diseñado para ofrecer una utilidad real en el mundo.,"GOCAR è il primo progetto di meme automobilistico progettato per offrire un'utilità nel mondo reale.
",GOCAR is het eerste auto-memeproject dat echte toepassingen in de echte wereld biedt.,O GOCAR é o primeiro projeto de meme de veículos criado para oferecer utilidade no mundo real.,GOCAR là dự án meme ô tô đầu tiên được thiết kế để mang lại tiện ích thực tế.,"GOCAR — первый автомобильный мем-проект, созданный для предоставления реальной пользы.",GOCAR adalah proyek meme mobil pertama yang dirancang untuk memberikan utilitas di dunia nyata.,GOCAR คือโปรเจกต์มีมรถยนต์ชิ้นแรกที่ออกแบบมาให้ใช้ประโยชน์ได้จริง
faqs.c3,"Erken katılın ve Tesla, BNB ve SHIB gibi büyük bir başarıya ulaşma potansiyeli taşıyan devrim niteliğindeki bu projenin bir parçası olun!","Join early and become part of a groundbreaking project with the potential to succeed like Tesla, BNB, and SHIB!","지금 일찍 참여하여 Tesla, BNB, SHIB처럼 성공할 잠재력을 가진 혁신적인 프로젝트의 일원이 되세요!",انضم مبكرًا وكن جزءًا من مشروع ثوري لديه إمكانات نجاح كبيرة مثل Tesla وBNB وSHIB!,现在加入的话，即可成为具有如 Tesla、BNB、SHIB 般成功潜力的创新项目的一员！,現在加入的話，即可成為具有如Tesla、BNB、SHIB 般成功潛力的創新專案的一員！,今すぐ参加して、Tesla、BNB、SHIB のように成功する可能性を秘めた革新的なプロジェクトの一員になりましょう！,"Steige früh ein und werde Teil eines bahnbrechenden Projekts mit dem Potenzial, Erfolge wie Tesla, BNB und SHIB zu erzielen! ","Rejoignez dès maintenant et devenez partie intégrante d'un projet révolutionnaire avec le potentiel de réussir comme Tesla, BNB et SHIB !","Únete temprano y conviértete en parte de un proyecto innovador con el potencial de tener éxito como Tesla, BNB y SHIB.","Unisciti subito e fai parte di un progetto innovativo con il potenziale per avere successo come Tesla, BNB e SHIB!","Sluit je vroeg aan en word deel van een baanbrekend project met het potentieel om net zo succesvol te worden als Tesla, BNB en SHIB!","Entre cedo e faça parte de um projeto inovador com o potencial de alcançar o sucesso de Tesla, BNB e SHIB!","Gia nhập sớm và trở thành một phần của dự án tiên phong có tiềm năng thành công như Tesla, BNB, và SHIB!","Присоединяйтесь на раннем этапе и станьте частью революционного проекта, который имеет потенциал достичь успеха, подобного Tesla, BNB и SHIB!","Bergabunglah lebih awal dan jadilah bagian dari proyek revolusioner dengan potensi sukses seperti Tesla, BNB, dan SHIB!","ร่วมมือกับเราตั้งแต่ตอนนี้เพื่อกลายเป็นส่วนหนึ่งของโปรเจกต์ที่มีศักยภาพในการประสบความสำเร็จเหมือน Tesla, BNB, และ SHIB!"
faqs.d1,Guardians of the Car’ı Bu Kadar Benzersiz Kılan Nedir?,"What makes Guardians of the Car so unique? 
","Guardians of the Car를 특별하게 만드는 점은 무엇인가요?
",ما الذي يجعل Guardians of the Car فريدًا من نوعه؟,"是什么让车之守护者与众不同？

","是什麼讓車之守護者與眾不同？
","Guardians of the Car を特別なものにしている点は何ですか？
","Was macht Guardians of the Car so einzigartig?

4-1)

","Qu'est-ce qui rend Guardians of the Car si unique ?



",¿Qué hace a Guardians of the Car tan único?,Cosa rende Guardians of the Car così unico? ,Wat maakt Guardians of the Car zo uniek?,O que torna o Guardians of the Car tão único?,Điều gì làm cho Guardians of the Car (Vệ Binh Ô Tô) trở nên độc đáo?,Что делает Guardians of the Car таким уникальным?,Apa yang membuat Guardians of the Car begitu unik?,อะไรที่ทำให้ Guardians of the Car แตกต่างจากโปรเจกต์อื่น?
faqs.d2,"GOCAR, sadece bir meme projesi değil—yenilikçi kullanım hizmetlerinde öncülük ediyor.",GOCAR is more than just a meme project—it is pioneering innovative utility services.,"GOCAR는 단순한 밈 프로젝트가 아닙니다. 혁신적인 유틸리티 서비스를 개척하는 프로젝트입니다.
",GOCAR ليس مجرد مشروع ميم – إنه رائد في تقديم خدمات مبتكرة ذات فائدة حقيقية.,GOCAR 不只是一个普通的迷因项目，而是一个开创创新实用服务的项目。,"GOCAR 不只是一个普通的迷因項目，而是一个開創創新實用服務的專案。
","GOCAR は単なるミームプロジェクトではありません。革新的なユーティリティサービスを開拓するプロジェクトです。
",GOCAR ist mehr als nur ein Meme-Projekt – es ist ein Vorreiter innovativer Utility-Dienste.,GOCAR est bien plus qu'un simple projet de meme – il est à l'avant-garde des services utilitaires innovants.,GOCAR es más que un simple proyecto de memes: está a la vanguardia de los servicios innovadores de utilidad.,GOCAR è più di un semplice progetto meme: è un pioniere dei servizi pubblici innovativi.,GOCAR is meer dan alleen een memeproject—het loopt voorop in innovatieve utility-services.,O GOCAR é mais do que apenas um projeto de meme—éo pioneiroem serviços utilitários com inovacoes.,GOCAR không chỉ là một dự án meme—nó đang tiên phong trong việc cung cấp các dịch vụ tiện ích đổi mới.,"GOCAR — это не просто мем-проект, а новатор в области полезных сервисов.",GOCAR lebih dari sekadar proyek meme—ini adalah pelopor layanan utilitas inovatif.,GOCAR เป็นมากกว่าแค่โปรเจกต์มีม เพราะนี่คือการบุกเบิกบริการที่มีประโยชน์ในแบบที่ไม่เคยมีมาก่อน
faqs.d3,"Sıfır trafik kazası hedefiyle, daha önce hiç görülmemiş çığır açıcı çözümler sunuyoruz. Bizi takip etmeye devam edin!","We are introducing groundbreaking solutions never seen before, all while striving for zero traffic accidents. Stay tuned for our journey!","우리는 지금까지 본 적 없는 획기적인 해결책을 소개하고 있으며, 교통사고 0%를 목표로 달려가고 있습니다. 우리의 여정을 지켜봐 주세요!","نحن نقدم حلولًا ثورية لم يسبق لها مثيل، ونسعى في الوقت نفسه إلى تحقيق هدف ""صفر حوادث مرور"". تابع رحلتنا!",我们正在推出前所未有的突破性解决方案，并以零交通事故为目标不断前进。敬请关注我们的旅程！,我們正在推出前所未有的突破性解決方案，並以零交通事故為目標不斷前進。敬請關注我們的旅程！,私たちは今まで見たことのない画期的な解決策を紹介しており、交通事故0% を目指して進んでいます。私たちの旅を見守ってください！,"Wir bringen bahnbrechende Lösungen auf den Markt, die es so noch nie gab, und verfolgen das Ziel, Verkehrsunfälle auf null zu reduzieren. Bleib dran für unsere Reise! ","Nous introduisons des solutions révolutionnaires jamais vues auparavant, tout en visant à atteindre zéro accident de la route. Restez à l'écoute pour notre voyage !","Estamos introduciendo soluciones revolucionarias nunca vistas antes, todo mientras luchamos por lograr cero accidentes de tráfico. ¡Sigue de cerca nuestro viaje!","Stiamo introducendo soluzioni rivoluzionarie mai viste prima, il tutto con l'obiettivo di azzerare gli incidenti stradali. Rimani sintonizzato per il nostro viaggio!","Wij introduceren baanbrekende oplossingen die nog nooit eerder zijn gezien, terwijl we streven naar nul verkeersongelukken. Blijf ons volgen op deze reis!","Estamos introduzindo soluções revolucionárias nunca vistas antes, enquanto buscamos zero acidentes de trânsito. Fique de olho na nossa jornada!","Chúng tôi đang giới thiệu các giải pháp đột phá chưa từng thấy trước đây, đồng thời nỗ lực giảm thiểu tai nạn giao thông xuống mức 0. Hãy theo dõi hành trình của chúng tôi!","Мы внедряем передовые решения, которых еще не было в индустрии, и при этом стремимся к нулевому количеству дорожных аварий. Следите за нашим развитием!","Kami menghadirkan solusi revolusioner yang belum pernah ada sebelumnya, sambil berupaya mencapai nol kecelakaan lalu lintas.
Tetap ikuti perjalanan kami!","เรากำลังนำเสนอโซลูชันที่เป็นนวัตกรรมซึ่งไม่เคยมีมาก่อน พร้อมตั้งเป้าลดอุบัติเหตุทางถนนให้เป็นศูนย์
คอยติดตามผลงานของเราได้เลย!"
faqs.e1,Guardians of the Car'da AI Teknolojisi Nasıl Çalışır?,How does AI technology work in Guardians of the Car? ,"Guardians of the Car에서 AI 기술은 어떻게 작동하나요?
",كيف تعمل تقنية الذكاء الاصطناعي في Guardians of the Car؟,车之守护者的 AI 技术是如何运作的？,"車之守護者的 AI 技術是如何運作的？
",Guardians of the Car での AI 技術 はどのように機能しますか？,"Wie funktioniert die KI-Technologie in Guardians of the Car?

5-1)


",Comment fonctionne la technologie IA dans Guardians of the Car ?,¿Cómo funciona la tecnología de IA en Guardians of the Car?,Come funziona la tecnologia AI in Guardians of the Car? ,Hoe werkt AI-technologie binnen Guardians of the Car?,Como a tecnologia de IA funciona no Guardians of the Car?,Công nghệ AI hoạt động như thế nào trong Guardians of the Car (Vệ Binh Ô Tô)?,Как работает технология ИИ в Guardians of the Car?,Bagaimana teknologi AI bekerja di Guardians of the Car?,เทคโนโลยี AI ใน Guardians of the Car มีหลักการทำงานอย่างไร?
faqs.e2,"GOCAR'ın AI Agent'ı, Guardians'ın verilerini kullanarak önden çarpışma uyarıları, trafik ışığı ihlalleri ve ters yönde giden araçlara dair bildirimler ile hava durumu koşullarına dayalı yol tehlikesi analizleri sunar. Böylece hem sürücülerin hem de yayaların güvenliğini sağlar.","GOCAR's AI Agent utilizes the Guardians' data to provide forward collision alerts, notifications for signal violations and wrong-way vehicles, and road hazard analysis based on weather conditions, ensuring the safety of both drivers and pedestrians.","GOCAR의 AI Agent는 가디언들의 데이터를 활용하여 전방 충돌 경고, 신호 위반 및 역주행 차량 알림, 날씨 조건에 따른 도로 위험 분석을 제공하여 운전자와 보행자 모두의 안전을 보장합니다.
",يستخدم وكيل الذكاء الاصطناعي GOCAR بيانات الحراس لتقديم تنبيهات الاصطدام الأمامي، وإشعارات مخالفات الإشارات والمركبات التي تسير في الاتجاه الخاطئ، بالإضافة إلى تحليل مخاطر الطريق بناءً على الظروف الجوية، مما يضمن سلامة السائقين والمشاة.,GOCAR 的 AI 代理利用守护者们的数据提供前方车祸警告、交通号志违规与逆行车辆提醒、基于天气条件的道路风险分析，以确保驾驶者和行人的安全。,"GOCAR的AI代理利用守護者們的數據提供前方車禍警告、交通號誌違規與逆行車輛提醒、基於天氣條件的道路風險分析，以確保駕駛者和行人 的安全。

",GOCAR の AI Agent はガーディアンたちのデータを活用して、前方衝突警告、信号違反や逆走車両の通知、天候条件に基づく道路リスク分析を提供し、運転者と歩行者の安全を確保します。,"Der AI Agent von GOCAR nutzt die Daten der Guardians, um Frontalkollisionswarnungen, Benachrichtigungen bei Signalverstößen und Falschfahrern sowie Straßenrisikoanalysen basierend auf Wetterbedingungen bereitzustellen – und so die Sicherheit von Fahrern und Fußgängern zu gewährleisten.","L'Agent IA de GOCAR utilise les données des Guardians pour fournir des alertes de collision avant, des notifications pour les violations de signalisation et les véhicules en sens inverse, ainsi qu'une analyse des risques routiers basée sur les conditions météorologiques, garantissant la sécurité des conducteurs et des piétons.","El Agent AI de GOCAR utiliza los datos de los Guardians para proporcionar alertas de colisión frontal, notificaciones de violaciones de señales y vehículos en sentido contrario, y análisis de peligros en la carretera basados en las condiciones climáticas, garantizando la seguridad tanto de los conductores como de los peatones. ","L'agente AI di GOCAR utilizza i dati di Guardians per fornire avvisi di collisione in avanti, notifiche di violazione dei segnali e di veicoli in arrivo e analisi dei pericoli della strada in base alle condizioni meteorologiche, garantendo la sicurezza di conducenti e pedoni.","De AI Agent van GOCAR gebruikt gegevens van de Guardians om waarschuwingen te geven voor frontale botsingen, meldingen voor verkeersovertredingen en spookrijders, en analyseert gevaren op de weg op basis van weersomstandigheden. Dit alles om de veiligheid van zowel bestuurders als voetgangers te waarborgen.","O AI Agent do GOCAR utiliza os dados dos Guardians para fornecer alertas de colisão frontal, notificações de violações de sinal e veículos na contramão, além de análises de perigos na estrada com base nas condições climáticas, garantindo a segurança de motoristas e pedestres.","AI Agent của GOCAR sử dụng dữ liệu từ các Vệ Binh để cung cấp cảnh báo va chạm phía trước, thông báo vi phạm tín hiệu và xe đi sai chiều, cùng với việc phân tích mối nguy hiểm trên đường dựa trên điều kiện thời tiết, đảm bảo sự an toàn cho cả người lái và người đi bộ.","ИИ-агент GOCAR использует данные Guardians для обеспечения предупреждений о лобовых столкновениях, уведомлений о нарушениях сигналов и движении в неправильном направлении, а также анализа дорожных опасностей с учетом погодных условий, обеспечивая безопасность как водителей, так и пешеходов.","AI Agent GOCAR memanfaatkan data dari Guardians untuk memberikan peringatan tabrakan depan, notifikasi pelanggaran rambu lalu lintas dan kendaraan yang melaju di arah yang salah, serta analisis bahaya jalan berdasarkan kondisi cuaca, guna memastikan keselamatan pengemudi dan pejalan kaki.",AI Agent GOCAR ใช้ข้อมูลจากเหล่า Guardians เพื่อแจ้งเตือนการชนทางด้านหน้า การละเมิดสัญญาณและการขับย้อนศร พร้อมทั้งวิเคราะห์อันตรายจากสภาพถนนตามสภาพอากาศเพื่อให้ผู้ขับขี่และคนเดินเท้าปลอดภัย
faqs.e3,"Ayrıca, AI Agent sürekli olarak Guardians'ın verilerinden öğrenir ve otonom bir şekilde gelişerek daha hassas ve değerli hizmetler sunar.","Furthermore, the AI Agent continuously learns from the Guardians' data, evolving autonomously to provide more precise and valuable services.","또한, AI Agent는 가디언들의 데이터를 지속적으로 학습하여 자율적으로 발전하고, 더 정확하고 가치 있는 서비스를 제공합니다.",علاوة على ذلك، يتعلم وكيل الذكاء الاصطناعي باستمرار من بيانات الحراس، ويتطور بشكل ذاتي لتقديم خدمات أكثر دقة وقيمة.,此外，AI 代理会持续学习守护者的数据，自主进化，提供更精准和有价值的服务。,"此外，AI代理會持續學習守護者的數據，自主進化，提供更精準和有價值的服務。

",さらに、AI Agent はガーディアンたちのデータを継続的に学習し、自律的に進化して、より正確で価値のあるサービスを提供します。,"Darüber hinaus lernt der AI Agent kontinuierlich aus den Daten der Guardians und entwickelt sich autonom weiter, um immer präzisere und wertvollere Dienste anzubieten.","De plus, l'Agent IA apprend en continu des données des Guardians, évoluant de manière autonome pour offrir des services plus précis et plus précieux.","Además, el Agent AI aprende continuamente de los datos de los Guardians, evolucionando de forma autónoma para ofrecer servicios más precisos y valiosos.","Inoltre, l'agente AI impara continuamente dai dati del Guardian, evolvendosi autonomamente per fornire servizi sempre più accurati e preziosi.","
Bovendien leert de AI Agent continu van de gegevens van de Guardians en evolueert hij autonoom om steeds nauwkeurigere en waardevollere diensten te leveren.","Além disso, o AI Agent aprende continuamente com os dados dos Guardians, evoluindo de forma autônoma para oferecer serviços cada vez mais precisos e valiosos.","Hơn nữa, AI Agent liên tục học hỏi từ dữ liệu của Vệ Binh, phát triển một cách tự động để cung cấp các dịch vụ chính xác và có giá trị hơn.","
Кроме того, AI Agent постоянно обучается на данных Guardians, развиваясь автономно, чтобы предоставлять более точные и ценные сервисы.","Selain itu, AI Agent terus belajar dari data Guardians, berkembang secara mandiri untuk memberikan layanan yang lebih akurat dan bernilai tinggi.",นอกจากนี้ AI Agent ยังเรียนรู้จากข้อมูลของ Guardians และพัฒนาตัวเองอยู่เสมอเพื่อให้บริการที่แม่นยำและมีคุณค่ามากยิ่งขึ้น
faqs.f1,Guardians of the Car Ana Özelliklerini Ne Zaman Başlatacak?,"When will Guardians of the Car launch its main features?
","Guardians of the Car의 주요 기능은 언제 출시되나요?
",متى سيتم إطلاق الميزات الرئيسية لـ Guardians of the Car؟,"车之守护者的主要功能何时上架？
","車之守護者的主要功能何時上架？
","Guardians of the Car の主要機能はいつリリースされますか？
",Wann wird Guardians of the Car seine Hauptfunktionen einführen?,Quand les principales fonctionnalités de Guardians of the Car seront-elles lancées ?,¿Cuándo se lanzarán las principales funciones de Guardians of the Car?,Quando i Car Guardian lanceranno le loro funzioni principali?,Wanneer worden de belangrijkste functies van Guardians of the Car gelanceerd?,Quando serão lançados os principais recursos do Guardians of the Car?,Khi nào Guardians of the Car sẽ ra mắt các tính năng chính?,Когда будут запущены основные функции Guardians of the Car?,Kapan fitur utama Guardians of the Car akan diluncurkan?,ฟีเจอร์หลักของ Guardians of the Car จะเปิดตัวเมื่อไหร่?
faqs.f2,"Guardians of the Car hizmetleri aşamalar halinde başlatılacak. 2025 yılında başlayarak, proje staking ve G2E'yi ilk özellikler olarak devreye alacak.","Guardians of the Car services will be launched in phases. Starting in 2025, the project will roll out staking and G2E as the initial features.","Guardians of the Car 서비스는 단계적으로 출시될 예정입니다. 2025년부터 프로젝트는 스테이킹과 G2E를 초기 기능으로 출시합니다.
",سيتم إطلاق خدمات Guardians of the Car على مراحل. بدءًا من عام 2025، سيطرح المشروع ميزة التخزين (Staking) و G2E كميزات أولية.,车之守护者的服务将分阶段推出。2025 年起，项目将率先推出质押和 G2E 作为初始功能。,"車之守護者的服務將分階段推出。 2025 年起，項目將率先推出質押和 G2E 作為初始功能。
",Guardians of the Car のサービスは段階的にリリースされる予定です。2025年からプロジェクトはステーキングと G2E を初期機能として提供します。,Die Guardians of the Car-Dienste werden phasenweise eingeführt. Ab 2025 wird das Projekt Staking und G2E als erste Funktionen bereitstellen.,"Les services de Guardians of the Car seront déployés par étapes. À partir de 2025, le projet lancera le staking et le G2E comme premières fonctionnalités.","Los servicios de Guardians of the Car se lanzarán en fases. A partir de 2025, el proyecto implementará el staking y G2E como funciones iniciales.","I servizi di Car Guardians saranno lanciati in fasi successive. A partire dal 2025, il progetto lancerà il parcheggio e il G2E come funzioni iniziali.",De diensten van Guardians of the Car worden gefaseerd gelanceerd. Vanaf 2025 introduceert het project staking en G2E als eerste functies.,"Os serviços do Guardians of the Car serão lançados em fases. A partir de 2025, o projeto implementará o staking e o G2E como recursos iniciais.","Các dịch vụ của Guardians of the Car sẽ được triển khai theo từng giai đoạn. Bắt đầu từ năm 2025, dự án sẽ triển khai staking và G2E như các tính năng ban đầu.","Сервисы Guardians of the Car будут запускаться поэтапно. Начиная с 2025 года, проект представит ставок (staking) и G2E в качестве начальных функций.","Layanan Guardians of the Car akan diluncurkan secara bertahap. Mulai tahun 2025, proyek akan memperkenalkan staking dan G2E sebagai fitur awal.",บริการของ Guardians of the Car จะเปิดตัวเป็นระยะ ๆ ตั้งแต่ปี 2025 จะเปิดตัวการสเตคและ G2E เป็นฟีเจอร์เริ่มต้น
faqs.f3,"Bunun ardından, daha gelişmiş yapay zeka tabanlı güvenlik ve konfor hizmetleri dünyaya sunulacak.","Following this, more advanced AI-based safety and convenience services will be introduced to the world.",이후 더 고급화된 AI 기반 안전 및 편의 서비스가 전 세계에 소개될 것입니다.,بعد ذلك، سيتم تقديم خدمات الأمان والراحة الأكثر تقدمًا المدعومة بالذكاء الاصطناعي إلى العالم.,随后，更高级的基于 AI 的安全与便捷服务将推向全球。,隨後，更高級的基於AI的安全與便捷服務將推向全球。,その後、より高度な AI 駆動の安全・利便性サービスが世界中に導入される予定です。,"Anschließend werden fortschrittlichere, KI-basierte Sicherheits- und Komfortdienste weltweit eingeführt.
","Par la suite, des services de sécurité et de commodité basés sur l'IA plus avancés seront introduits dans le monde entier.","Después de esto, se introducirán en todo el mundo servicios de seguridad y conveniencia más avanzados basados en IA.","In seguito, verranno introdotti servizi più avanzati di sicurezza e convenienza basati sull'intelligenza artificiale.",Daarna zullen meer geavanceerde AI-gebaseerde veiligheids- en gebruiksvriendelijke diensten worden geïntroduceerd.,"Após isso, serviços mais avançados de segurança e conveniência baseados em IA serão introduzidos em todo o mundo.","Sau đó, các dịch vụ an toàn và tiện lợi tiên tiến hơn dựa trên AI sẽ được giới thiệu ra toàn thế giới",После этого будут внедрены более продвинутые сервисы безопасности и удобства на основе искусственного интеллекта по всему миру.,"Setelah itu, layanan keamanan dan kenyamanan berbasis AI yang lebih canggih akan diperkenalkan ke seluruh dunia.",หลังจากนี้จะมีการเปิดตัวบริการด้านความปลอดภัยและความสะดวกสบายที่ขับเคลื่อนด้วย AI สู่ตลาดโลก
faqs.g1,Token'larımı Ne Zaman Alacağım?,"When do I get my tokens? 
","토큰은 언제 받나요?
",متى يمكنني استلام رموزي؟,"什么时候可以领取代币？

7-1)



","什麼時候可以領取代幣？
","トークンはいつ受け取れますか？
","Wann erhalte ich meine Tokens?

7-1)

","Quand recevrai-je mes tokens ?


",¿Cuándo recibiré mis tokens?,Quando riceverò i miei gettoni? ,Wanneer ontvang ik mijn tokens?,Quando receberei meus tokens?,Khi nào tôi nhận được token của mình?,Когда я получу свои токены?,Kapan saya akan mendapatkan token saya?,จะสามารถรับโทเคนได้เมื่อไหร่?
faqs.g2,"Ön satış sona erip token piyasaya sürüldüğünde, $GOCAR token'larınızı anında talep edebileceksiniz.","Once the presale ends and the token launches, you can instantly claim your $GOCAR tokens.","프리세일이 종료되고 토큰이 출시되면, $GOCAR 토큰을 즉시 클레임할 수 있습니다.
",بمجرد انتهاء البيع المسبق وإطلاق الرمز، يمكنك فورًا المطالبة برموز $GOCAR الخاصة بك.,预售结束且代币上市后，您即可领取 $GOCAR 代币。,"預售結束且代幣上市後，您即可領取 $GOCAR 代幣。
",プリセールが終了し、トークンが発売されると、$GOCAR トークン を即座にクレームできます。,"Sobald der Presale endet und der Token gestartet wird, kannst du deine $GOCAR-Tokens sofort einfordern. Sobald der Presale endet und der Token gestartet wird, kannst du deine $GOCAR-Tokens sofort beanspruchen.","Une fois la prévente terminée et le token lancé, vous pouvez immédiatement réclamer vos $GOCAR tokens.","Una vez que termine la preventa y se lance el token, podrás reclamar tus $GOCAR tokens al instante.","Quando la prevendita termina e il token viene rilasciato, puoi richiedere immediatamente i tuoi token $GOCAR.","Zodra de presale eindigt en de token wordt gelanceerd, kun je direct je $GOCAR-tokens claimen.","Assim que a pré-venda terminar e o token for lançado, você poderá resgatar instantaneamente seus $GOCAR.","Khi đợt mua trước kết thúc và token được ra mắt, bạn có thể ngay lập tức yêu cầu $GOCAR tokens.","Как только предпродажа закончится и токен будет запущен, вы сможете сразу же забрать свои $GOCAR.","Setelah presale berakhir dan token diluncurkan, Anda dapat langsung mengklaim $GOCAR Anda.",คุณจะสามารถรับ $GOCAR ของคุณได้ทันทีเมื่อรอบพรีเซลล์สิ้นสุดลงและมีการเปิดตัวโทเคนอย่างเป็นทางการ 
faqs.g3,Cüzdanınızı bağlayıp 'Claim' düğmesine tıklamanız yeterli—bu kadar basit!,"Simply connect your wallet and click ""Claim""— it’s that easy!","단순히 지갑을 연결하고 ""Claim"" 버튼을 클릭하면 됩니다!","كل ما عليك فعله هو توصيل محفظتك والضغط على ""المطالبة"" – الأمر بهذه السهولة!",只需连接钱包并点击 “领取” 按钮即可！,只需連接錢包並點擊 “領取” 按鈕即可！,ウォレットを接続し、「Claim」 ボタンをクリックするだけです！,Verbinde einfach dein Wallet und klicke auf „Claim“ – so einfach ist das!,"Il vous suffit de connecter votre portefeuille et de cliquer sur ""Claim"" – c'est aussi simple que cela !","Simplemente conecta tu monedero y haz clic en ""Claim"" – ¡así de fácil!","Basta collegare il tuo portafoglio e cliccare su ""Richiedi"": è semplicissimo!",Verbind gewoon je wallet en klik op “Claim”— zo simpel is het!,"Basta conectar sua carteira e clicar em ""Claim""—é simples assim!","Chỉ cần kết nối ví của bạn và nhấp vào nút ""Nhận""—thật đơn giản!",Просто подключите свой кошелек и нажмите «Claim» — всё очень просто!,"Cukup hubungkan dompet Anda dan klik ""Claim""—semudah itu!","ง่ายนิดเดียว! เพียงเชื่อมต่อกระเป๋าเงินของคุณและคลิก ""Claim"""
faqs.h1,"""Aç kal. Cesur kal. Guardian kal.“ – Steve Guardian","
""Stay Hungry. Stay Foolish. Stay Guardian."" - Steve Guardian","""갈망하라. 과감하라. 그리고 가디언이 되어라."" -스티브 가디언 
","ابقَ جائعًا. ابقَ مجنونًا. ابقَ حارسًا."" – ستيف جارديان""","""渴求、果敢、获得收益，然后成为守护者吧！"" – 史蒂夫·守护者",“ 渴求、果敢、獲得收益，然後成為守護者吧！” – 史蒂夫·守護者,"""渇望せよ、大胆であれ、そしてガーディアンになれ。"" – スティーブ・ガーディアン","""Bleib hungrig. Bleib tollkühn. Bleib ein Guardian.“ – Steve Guardian ","""Restez affamé. Restez audacieux. Restez Guardian."" – Steve Guardian","""Mantente hambriento. Mantente atrevido. Mantente Guardian."" – Steve Guardian","""Rimani affamato. Rimani muto. Resta Guardiano"". - Steve Guardian",“Stay Hungry. Stay Foolish. Stay Guardian.” - Steve Guardian,"""Permaneça faminto. Permaneça ousado. Permaneça Guardian."" – Steve Guardian","""Hãy luôn khao khát. Hãy luôn liều lĩnh. Hãy luôn là một Vệ Binh.""– Steve Guardian","""Оставайся голодным. Оставайся дерзким. Оставайся Guardian."" – Steve Guardian

","""Tetap lapar. Tetap berani. Tetap Guardian.“ – Steve Guardian","""จงกระหาย จงกล้าหาญ จงเป็น Guardian"" – Steve Guardian"
home.cw,Ana ekranda bir ağ seçin ve cüzdanınıza bağlanın.,Select a network on the home screen and connect to your wallet.,홈화면에서 네트워크를 선택 후 지갑에 연결해주세요.,اختر شبكة على الشاشة الرئيسية وقم بالاتصال بمحفظتك.,在主屏幕上选择一个网络并连接到您的钱包。,在主畫面上選擇一個網絡並連接到您的錢包。,ホーム画面でネットワークを選択し、ウォレットに接続してください。,Wählen Sie ein Netzwerk auf dem Startbildschirm aus und verbinden Sie Ihre Wallet.,Sélectionnez un réseau sur l'écran d'accueil et connectez votre portefeuille.,Selecciona una red en la pantalla de inicio y conéctate a tu billetera.,Seleziona una rete nella schermata principale e connettiti al tuo portafoglio.,Selecteer een netwerk op het startscherm en verbind met je wallet.,Selecione uma rede na tela inicial e conecte-se à sua carteira.,Chọn một mạng trên màn hình chính và kết nối với ví của bạn.,Выберите сеть на главном экране и подключите свой кошелек.,Pilih jaringan di layar utama dan hubungkan ke dompet Anda.,เลือกเครือข่ายบนหน้าจอหลักและเชื่อมต่อกับกระเป๋าสตางค์ของคุณ.
